index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales
149,1937.0,Think and Grow Rich,Napoleon Hill,eng,Intermediate,4.17,87445,genre fiction,702.9
150,1932.0,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.16,165127,genre fiction,697.95
151,2004.0,Jonathan Strange & Mr Norrell,Susanna Clarke,eng,Intermediate,3.8,133683,genre fiction,5593.0
152,2001.0,A Bend in the Road,Nicholas Sparks,eng,Intermediate,4.02,116800,genre fiction,1353.2
153,2013.0,The House of Hades,Rick Riordan,eng,Famous,4.54,159774,nonfiction,668.25
154,2008.0,Gone,Michael  Grant,eng,Intermediate,3.85,144606,genre fiction,3678.3
155,2003.0,The Wedding,Nicholas Sparks,en-US,Intermediate,3.98,118045,genre fiction,658.35
156,2005.0,1776,David McCullough,eng,Intermediate,4.06,130293,genre fiction,7814.4
157,2003.0,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng,Intermediate,3.98,112167,genre fiction,648.45
158,2012.0,Beautiful Ruins,Jess Walter,eng,Intermediate,3.67,116053,genre fiction,9818.45
159,2006.0,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,en-US,Intermediate,3.69,110873,genre fiction,3243.5
160,1999.0,On Writing: A Memoir of the Craft,Stephen King,eng,Intermediate,4.31,131481,genre fiction,1943.5
161,2008.0,Firefly Lane,Kristin Hannah,en-US,Intermediate,4.04,121966,genre fiction,3218.55
162,1987.0,Sphere,Michael Crichton,eng,Intermediate,3.77,128244,genre fiction,4473.6
163,2008.0,Love the One You're With,Emily Giffin,en-US,Intermediate,3.7,124812,genre fiction,5663.7
164,2014.0,The Silkworm,"Robert Galbraith, J.K. Rowling",eng,Intermediate,4.03,120008,genre fiction,608.85
165,1985.0,The Vampire Lestat,Anne Rice,eng,Intermediate,4.05,141299,genre fiction,603.9
166,2011.0,State of Wonder,Ann Patchett,eng,Intermediate,3.85,124837,genre fiction,1210.0
167,2008.0,The Silver Linings Playbook,Matthew Quick,en-US,Intermediate,4.0,110939,genre fiction,594.0
168,1869.0,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",eng,Intermediate,3.86,121112,genre fiction,3540.25
